
            Primeiras 250 pesquisas

Tempo de execução: 0.000292000, Linha no dataset: 71016
Tempo de execução: 0.000246900, Linha no dataset: 71280
Tempo de execução: 0.000255400, Linha no dataset: 71544
Tempo de execução: 0.000231100, Linha no dataset: 71808
Tempo de execução: 0.000232300, Linha no dataset: 72072
Tempo de execução: 0.000247400, Linha no dataset: 72336
Tempo de execução: 0.000227400, Linha no dataset: 72600
Tempo de execução: 0.000227500, Linha no dataset: 72864
Tempo de execução: 0.000229500, Linha no dataset: 73128
Tempo de execução: 0.000227900, Linha no dataset: 73392
Tempo de execução: 0.000227200, Linha no dataset: 73656
Tempo de execução: 0.000230100, Linha no dataset: 73920
Tempo de execução: 0.000245000, Linha no dataset: 74184
Tempo de execução: 0.000368000, Linha no dataset: 74448
Tempo de execução: 0.000363000, Linha no dataset: 74712
Tempo de execução: 0.000285600, Linha no dataset: 74976
Tempo de execução: 0.000253700, Linha no dataset: 75240
Tempo de execução: 0.000237800, Linha no dataset: 75504
Tempo de execução: 0.000237800, Linha no dataset: 75768
Tempo de execução: 0.000235800, Linha no dataset: 76032
Tempo de execução: 0.000253500, Linha no dataset: 76296
Tempo de execução: 0.000239500, Linha no dataset: 76560
Tempo de execução: 0.000236400, Linha no dataset: 76824
Tempo de execução: 0.000238800, Linha no dataset: 77088
Tempo de execução: 0.000243500, Linha no dataset: 77352
Tempo de execução: 0.000248500, Linha no dataset: 77616
Tempo de execução: 0.000248900, Linha no dataset: 77880
Tempo de execução: 0.000406900, Linha no dataset: 78144
Tempo de execução: 0.000669900, Linha no dataset: 78408
Tempo de execução: 0.000641700, Linha no dataset: 78672
Tempo de execução: 0.000678200, Linha no dataset: 78936
Tempo de execução: 0.000704200, Linha no dataset: 79200
Tempo de execução: 0.000773000, Linha no dataset: 79464
Tempo de execução: 0.000607900, Linha no dataset: 79728
Tempo de execução: 0.000349000, Linha no dataset: 79992
Tempo de execução: 0.000337500, Linha no dataset: 80256
Tempo de execução: 0.000298700, Linha no dataset: 80520
Tempo de execução: 0.000305300, Linha no dataset: 80784
Tempo de execução: 0.000416300, Linha no dataset: 81048
Tempo de execução: 0.000343900, Linha no dataset: 81312
Tempo de execução: 0.000320800, Linha no dataset: 81576
Tempo de execução: 0.000387400, Linha no dataset: 81840
Tempo de execução: 0.000374300, Linha no dataset: 82104
Tempo de execução: 0.000526000, Linha no dataset: 82368
Tempo de execução: 0.001056400, Linha no dataset: 82632
Tempo de execução: 0.000720500, Linha no dataset: 82896
Tempo de execução: 0.000573200, Linha no dataset: 83160
Tempo de execução: 0.000419900, Linha no dataset: 83424
Tempo de execução: 0.000343600, Linha no dataset: 83688
Tempo de execução: 0.000278500, Linha no dataset: 83952
Tempo de execução: 0.000288100, Linha no dataset: 84216
Tempo de execução: 0.000298500, Linha no dataset: 84480
Tempo de execução: 0.000318000, Linha no dataset: 84744
Tempo de execução: 0.000300800, Linha no dataset: 85008
Tempo de execução: 0.000335400, Linha no dataset: 85272
Tempo de execução: 0.000350500, Linha no dataset: 85536
Tempo de execução: 0.000449300, Linha no dataset: 85800
Tempo de execução: 0.000388800, Linha no dataset: 86064
Tempo de execução: 0.000386400, Linha no dataset: 86328
Tempo de execução: 0.000364400, Linha no dataset: 86592
Tempo de execução: 0.000358500, Linha no dataset: 86856
Tempo de execução: 0.000343200, Linha no dataset: 87120
Tempo de execução: 0.000504000, Linha no dataset: 87384
Tempo de execução: 0.000440000, Linha no dataset: 87648
Tempo de execução: 0.000505200, Linha no dataset: 87912
Tempo de execução: 0.000517600, Linha no dataset: 88176
Tempo de execução: 0.000916500, Linha no dataset: 88440
Tempo de execução: 0.001048400, Linha no dataset: 88704
Tempo de execução: 0.001032600, Linha no dataset: 88968
Tempo de execução: 0.000733800, Linha no dataset: 89232
Tempo de execução: 0.000424900, Linha no dataset: 89496
Tempo de execução: 0.000480200, Linha no dataset: 89760
Tempo de execução: 0.000394900, Linha no dataset: 90024
Tempo de execução: 0.000407600, Linha no dataset: 90288
Tempo de execução: 0.000379100, Linha no dataset: 90552
Tempo de execução: 0.000556200, Linha no dataset: 90816
Tempo de execução: 0.001058300, Linha no dataset: 91080
Tempo de execução: 0.000488100, Linha no dataset: 91344
Tempo de execução: 0.000476800, Linha no dataset: 91608
Tempo de execução: 0.000415500, Linha no dataset: 91872
Tempo de execução: 0.000424300, Linha no dataset: 92136
Tempo de execução: 0.000375700, Linha no dataset: 92400
Tempo de execução: 0.000379300, Linha no dataset: 92664
Tempo de execução: 0.000387400, Linha no dataset: 92928
Tempo de execução: 0.000382600, Linha no dataset: 93192
Tempo de execução: 0.000409200, Linha no dataset: 93456
Tempo de execução: 0.000387300, Linha no dataset: 93720
Tempo de execução: 0.000382300, Linha no dataset: 93984
Tempo de execução: 0.000423200, Linha no dataset: 94248
Tempo de execução: 0.000598700, Linha no dataset: 94512
Tempo de execução: 0.000738800, Linha no dataset: 94776
Tempo de execução: 0.000578300, Linha no dataset: 95040
Tempo de execução: 0.000487500, Linha no dataset: 95304
Tempo de execução: 0.000478100, Linha no dataset: 95568
Tempo de execução: 0.000436400, Linha no dataset: 95832
Tempo de execução: 0.000420500, Linha no dataset: 96096
Tempo de execução: 0.000412200, Linha no dataset: 96360
Tempo de execução: 0.000421700, Linha no dataset: 96624
Tempo de execução: 0.000437200, Linha no dataset: 96888
Tempo de execução: 0.000416800, Linha no dataset: 97152
Tempo de execução: 0.000411400, Linha no dataset: 97416
Tempo de execução: 0.000412900, Linha no dataset: 97680
Tempo de execução: 0.000440400, Linha no dataset: 97944
Tempo de execução: 0.000421200, Linha no dataset: 98208
Tempo de execução: 0.000418000, Linha no dataset: 98472
Tempo de execução: 0.000411100, Linha no dataset: 98736
Tempo de execução: 0.000432000, Linha no dataset: 99000
Tempo de execução: 0.000733600, Linha no dataset: 99264
Tempo de execução: 0.000585700, Linha no dataset: 99528
Tempo de execução: 0.000873900, Linha no dataset: 99792
Tempo de execução: 0.001248100, Linha no dataset: 100056
Tempo de execução: 0.000895600, Linha no dataset: 100320
Tempo de execução: 0.000515300, Linha no dataset: 100584
Tempo de execução: 0.000515500, Linha no dataset: 100848
Tempo de execução: 0.000517800, Linha no dataset: 101112
Tempo de execução: 0.000462300, Linha no dataset: 101376
Tempo de execução: 0.000454500, Linha no dataset: 101640
Tempo de execução: 0.000426700, Linha no dataset: 101904
